Id,firstName,lastName,salary,managerId
1000,John,Doe,100000,
1001,ManagerL1_1,Last_1,64407,1000
1002,ManagerL2_2,Last_2,43086,1001
1003,ManagerL3_3,Last_3,51480,1002
1004,EmployeeL3_4,Last_4,49453,1003
1005,EmployeeL3_5,Last_5,53510,1003
1006,ManagerL3_6,Last_6,43614,1002
1007,EmployeeL3_7,Last_7,45435,1006
1008,EmployeeL3_8,Last_8,41792,1006
1009,ManagerL2_9,Last_9,45430,1001
1010,ManagerL3_10,Last_10,45395,1009
1011,EmployeeL3_11,Last_11,42173,1010
1012,EmployeeL3_12,Last_12,48617,1010
1013,ManagerL3_13,Last_13,45474,1009
1014,EmployeeL3_14,Last_14,47450,1013
1015,EmployeeL3_15,Last_15,43498,1013
1016,ManagerL1_16,Last_16,59820,1000
1017,ManagerL2_17,Last_17,59820,1016
1018,ManagerL3_18,Last_18,40077,1017
1019,ManagerL4_19,Last_19,40077,1018
1020,EmployeeL3_19,Last_19,46845,1019
1021,EmployeeL3_20,Last_20,45794,1020
